ticker
AAPL
MSFT
GOOGL
AMZN
META
NVDA
AVGO
ADBE
TSLA
NFLX
CRM
INTC
CSCO
ORCL
AMD
SHOP
UBER
NOW
PANW
COST
WMT
HD
LOW
MCD
SBUX
NKE
TGT
JNJ
PFE
MRK
ABBV
LLY
UNH
BRK-B
JPM
BAC
WFC
GS
MS
BX
V
MA
AXP
PYPL
CAT
DE
UPS
FDX
LMT
BA
IBM
GE
HON
XOM
CVX
COP
NEE
DUK
PG
PEP
KO
PM
MO
